const int TotalWorkstation=10;
const double RobotConsum[TotalWorkstation]={ 1.2, 1.6, 1.1, 1.7, 1.2, 1.5, 1.4, 1.8, 1.6, 1.7};
const double TaskTime[TASK_COUNT][TotalWorkstation]=
{
38, 79, 54, 39, 76, 38, 45, 56, 74, 40, 
47, 40, 57, 64, 99, 60, 46, 40, 26, 56, 
34, 45, 33, 68, 78, 51, 54, 39, 41, 51, 
29, 77, 30, 71, 71, 62, 61, 34, 50, 39, 
76, 77, 47, 89, 79, 63, 132, 107, 38, 56, 
27, 40, 42, 62, 46, 28, 55, 32, 30, 58, 
62, 63, 33, 84, 75, 52, 64, 73, 85, 51, 
31, 61, 28, 28, 72, 35, 42, 39, 63, 62, 
30, 64, 42, 29, 110, 29, 95, 80, 38, 38, 
32, 93, 59, 87, 100, 71, 92, 72, 67, 40, 
68, 91, 50, 52, 109, 60, 94, 137, 85, 76, 
38, 48, 43, 40, 57, 31, 51, 70, 40, 35, 
28, 28, 20, 29, 96, 23, 31, 30, 21, 31, 
29, 52, 52, 25, 104, 61, 40, 42, 25, 37, 
28, 64, 30, 24, 33, 34, 38, 27, 21, 32, 
35, 51, 43, 92, 136, 118, 52, 82, 39, 49, 
35, 35, 43, 58, 77, 45, 41, 93, 33, 63, 
47, 59, 66, 39, 98, 52, 33, 71, 23, 40, 
26, 88, 31, 43, 131, 88, 57, 48, 73, 65, 
50, 64, 34, 28, 54, 47, 62, 35, 49, 30, 
27, 50, 24, 50, 60, 33, 55, 64, 26, 36, 
26, 39, 44, 54, 99, 57, 42, 91, 44, 42, 
47, 107, 33, 58, 80, 33, 42, 38, 35, 43, 
52, 125, 77, 83, 85, 46, 59, 54, 52, 55, 
29, 50, 28, 51, 63, 25, 69, 32, 43, 30, 
38, 48, 32, 75, 78, 75, 47, 35, 34, 38, 
57, 105, 53, 92, 126, 69, 111, 53, 86, 86, 
30, 36, 22, 49, 51, 38, 32, 83, 38, 28, 
32, 64, 22, 61, 50, 28, 40, 39, 28, 33, 
37, 35, 36, 29, 49, 69, 47, 41, 49, 27, 
23, 29, 54, 38, 57, 47, 35, 31, 38, 29, 
63, 99, 69, 37, 150, 52, 51, 82, 59, 65, 
52, 29, 23, 30, 37, 50, 41, 29, 21, 31, 
43, 53, 99, 36, 139, 108, 52, 70, 45, 56, 
30, 69, 35, 62, 65, 67, 66, 40, 47, 34, 
20, 74, 30, 50, 37, 26, 50, 50, 20, 29, 
37, 48, 41, 65, 74, 65, 85, 62, 37, 56, 
26, 56, 34, 55, 40, 26, 44, 32, 49, 54, 
34, 71, 27, 48, 117, 28, 34, 40, 31, 55, 
24, 39, 28, 20, 37, 26, 30, 30, 32, 28, 
61, 67, 43, 38, 89, 51, 99, 105, 40, 69, 
26, 35, 26, 33, 112, 35, 94, 49, 34, 73, 
39, 37, 29, 70, 53, 32, 40, 39, 25, 53, 
32, 121, 39, 58, 60, 83, 104, 62, 31, 64, 
56, 67, 43, 48, 64, 94, 89, 86, 87, 62, 
63, 36, 44, 45, 62, 44, 65, 38, 31, 37, 
47, 35, 56, 50, 50, 25, 32, 30, 27, 33, 
40, 62, 47, 47, 177, 103, 73, 64, 70, 60, 
51, 59, 83, 50, 116, 80, 59, 142, 40, 116, 
41, 86, 74, 39, 92, 86, 52, 51, 49, 41, 
29, 89, 32, 34, 72, 33, 42, 48, 30, 32, 
36, 64, 28, 49, 46, 49, 70, 73, 56, 44, 
35, 66, 90, 38, 74, 41, 57, 92, 66, 63, 
64, 55, 48, 33, 51, 57, 45, 90, 27, 38, 
60, 58, 58, 69, 60, 81, 51, 69, 41, 59, 
34, 67, 60, 25, 62, 28, 32, 37, 29, 32, 
46, 39, 28, 63, 48, 33, 76, 72, 41, 34, 
43, 35, 29, 31, 38, 59, 50, 51, 35, 37, 
76, 81, 41, 39, 87, 119, 91, 68, 41, 113, 
76, 118, 62, 55, 81, 63, 59, 53, 41, 65, 
50, 121, 38, 38, 98, 52, 154, 52, 65, 75, 
25, 43, 20, 32, 40, 61, 29, 38, 22, 36, 
34, 52, 24, 46, 61, 40, 36, 29, 36, 55, 
34, 42, 39, 55, 76, 47, 46, 74, 25, 68, 
68, 40, 43, 29, 102, 35, 53, 55, 39, 100, 
57, 47, 38, 27, 48, 32, 59, 44, 34, 32, 
46, 57, 83, 33, 87, 39, 117, 47, 32, 75, 
25, 31, 53, 39, 57, 30, 36, 33, 35, 37, 
26, 42, 47, 34, 104, 56, 44, 36, 38, 41, 
22, 60, 41, 23, 84, 57, 36, 55, 32, 31


};
const int PrecedenceMatrix[TASK_COUNT][TASK_COUNT]=
{
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,
0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
