0.75	1	1	0.818182	0.904762	0.545455	0.428571	0.833333	
1	1	0.875	1	0.733333	0.833333	0.4	0.5	
1	0.916667	1	0.6	0.571429	1	0.809524	0.25	
0.8	0.875	0.571429	0.5	0.882353	0.892857	0.615385	0.388889	
0.75	0.8	1	0.9	1	0.823529	0.428571	0.727273	
1	1	0.833333	0.5	0.6	0.857143	0.36	0.722222	
0.666667	0.923077	1	0.875	0.692308	0.846154	0.7	0.333333	
1	1	1	1	0.923077	0.615385	0.740741	0.283019	
1	0.818182	0.888889	0.25	0.904762	0.88	0.548387	0.8	
1	0.8	1	0.833333	0.947368	0.692308	0.533333	0.285714	
0.857143	1	0.8	1	0.8	0.833333	0.478261	0.454545	
1	1	1	1	0.916667	0.5	0.285714	0.96	
1	0.833333	1	0.714286	1	0.9375	0.9	0.0555556	
1	0.916667	0.666667	0.583333	0.928571	0.888889	0.444444	0.769231	
1	0.777778	1	1	0.375	0.8	0.636364	1	
1	1	0.75	0.9	1	0.388889	0.923077	0.136364	
1	0.75	1	0.727273	0.454545	0.533333	0.954545	0.565217	
1	1	0.8	1	0.923077	0.75	0.235294	0.6875	
1	0.888889	1	1	0.846154	0.857143	0.333333	0.727273	
1	1	1	1	0.933333	1	0.833333	0.333333	
1	1	1	0.714286	1	0.7	0.153846	1	
1	0.777778	1	0.833333	1	0.863636	0.533333	0.857143	
0.888889	1	1	0.857143	1	1	0.75	0	
1	0.8	1	0.888889	1	0.823529	0.636364	0.333333	
1	0.888889	0.857143	0.666667	0.692308	1	0.733333	0.333333	
1	0.875	1	0.923077	0.8	0.833333	0.444444	0.538462	
1	1	1	1	1	1	0.909091	0	
1	1	1	1	0.444444	0.785714	0.333333	0.833333	
1	1	0.75	0.75	0.857143	0.375	1	0.2	
1	1	1	0.666667	0.5	1	0.75	0.777778	
0.75	0.833333	1	0.666667	0.666667	0.769231	0.571429	0.777778	
0.375	1	0.875	1	0.785714	0.842105	0.928571	0.5	
