4	6	6	11	21	22	7	6	
10	13	8	12	15	18	10	14	
5	12	4	5	7	5	21	8	
5	8	7	6	17	28	13	18	
8	10	8	10	22	17	14	22	
5	15	6	10	10	21	25	18	
3	13	7	8	13	13	20	6	
8	7	4	9	13	13	27	53	
8	11	9	8	21	25	31	20	
5	5	7	6	19	13	15	21	
7	11	5	11	15	24	23	22	
10	12	6	7	12	4	14	25	
5	6	6	7	16	16	10	18	
6	12	3	12	14	18	9	13	
7	9	3	9	16	10	22	11	
10	11	4	10	14	18	13	22	
11	12	5	11	11	15	22	23	
7	6	5	6	13	8	17	16	
12	9	5	12	13	7	15	22	
9	4	9	9	15	5	18	9	
3	7	7	7	9	10	13	18	
5	9	6	6	16	22	15	14	
9	10	5	7	8	18	20	10	
7	5	3	9	15	17	11	15	
13	9	7	3	13	17	15	12	
6	8	6	13	10	12	9	13	
10	16	5	11	29	15	11	13	
8	7	7	6	18	14	6	6	
7	7	4	4	7	8	6	10	
10	12	4	6	14	13	8	9	
4	6	7	6	9	13	7	9	
8	8	8	13	14	19	14	14	
