1379	1660	1294	1460	1320	1196	1286	1156	1311	1035	1367	1043	
1306	1817	1270	1478	1310	1215	1239	1313	1311	1048	1342	1051	
1271	1890	1216	1647	1310	1234	1239	1397	1302	1117	1320	1061	
1241	1960	1166	1665	1275	1276	1211	1592	1272	1157	1320	1117	
		1163	1665	1262	1377	1211	1594	1269	1163	1320	1121	
				1234	1433	1211	1603	1266	1163	1310	1186	
				1217	1541	1211	1605	1255	1168	1306	1194	
				1210	1779	1211	1669	1225	1264	1303	1204	
				1177	1786	1211	1669	1220	1265	1285	1216	
				1147	1830	1211	1691	1220	1282	1285	1216	
				1132	1880	1211	1694	1220	1362	1259	1278	
				1128	1941	1211	1707	1214	1665	1242	1303	
				1128	1956	1211	1707	1176	1689	1227	1317	
				1127	2007	1211	1707	1173	1756	1205	1326	
						1201	1769	1162	2068	1129	1631	
						1178	1802	1162	2068	1127	2501	
						1176	1961					
						1176	2120					
						1137	2135					
						1128	2494					
