1585	2253	1541	2262	1556	2434	1545	2389	1632	2093	1626	1840	
1538	2547	1534	2679	1508	2435	1519	2392	1595	2201	1584	2008	
1495	3372	1447	2864	1470	2439	1519	2400	1554	2256	1531	2020	
1482	3401	1440	3108	1441	2817	1506	2441	1535	2289	1524	2119	
1453	3769	1439	3129	1418	3013	1434	2466	1513	2319	1504	2171	
		1424	3403	1412	3214	1423	2632	1480	2331	1460	2352	
		1401	3432	1391	3239	1398	2827	1451	2455	1457	2374	
				1391	3666	1398	2970	1404	2616	1433	2437	
				1391	3817	1398	3146	1398	3101	1430	2685	
				1391	3937	1398	3178	1382	3104	1426	2801	
						1398	3208	1376	3359	1400	2808	
						1391	3400	1348	3713	1393	2829	
						1391	3619			1371	2857	
						1381	3818					
