711	6550	719	6366	731	6098	727	6715	713	6362	727	6339	740	6472	755	6187
708	6793	717	6913	717	6473	719	6762	713	6362	727	6339	740	6587	741	6225
708	6849	712	7012	714	6838	713	6815	713	6362	727	6339	732	6648	721	6265
705	6864	712	7012	706	7263	701	7066	713	6768	720	6473	710	6742	720	6740
699	7201	702	7366	697	7367	701	7184	713	6768	720	6473	709	6888	715	6999
680	7460	702	7366	695	7703	699	7185	713	6768	720	6473	700	7110	715	7150
679	8019	684	7672	690	7786	695	7247	713	6778	716	6594	699	7359	712	7214
678	8324	683	7847	683	8168	692	7394	713	6778	714	6791	696	7535	698	7256
		683	8396			689	7836	713	6778	714	6868	691	7648	682	7322
		683	9160			689	7836	713	7017	714	6871	685	7721	679	7462
						687	8037	707	7032	714	6871	683	7895	676	7806
						679	8253	707	7032	714	6871	673	8199	670	8064
						671	8737	707	7032	714	6913	673	9443	664	8148
						671	8737	690	7092	714	6913	672	9638	663	8727
						670	9092	690	7092	714	6913				
								690	7092	691	6920				
								690	7092	690	7217				
								690	7095	687	7268				
								690	7095	687	7268				
								690	7095	687	7268				
								690	7375	687	7268				
								690	7375	687	7389				
								690	7643	687	7389				
								690	7707	687	7389				
								690	7707	682	7598				
								690	7707	682	7598				
								690	7898	681	7877				
								690	7898	681	7877				
								690	7898	676	8066				
								690	7930	676	8066				
								690	7930	676	8066				
								690	7930	676	8129				
								687	7954	676	8129				
								687	7954	676	8129				
								687	7954	675	8207				
								678	8350	675	8207				
										675	8520				
										675	8520				
										675	8520				
										667	9043				
										667	9043				
										667	9043				
										666	9084				
										666	9084				
